2021-05-26 17:28 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:28 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:28 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:29 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:29 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:29 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:29 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:29 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:29 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:30 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:30 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:30 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:30 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:30 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:30 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:31 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:31 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:31 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:31 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:31 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:31 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:32 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:32 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:38 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
2021-05-26 17:38 INFO  [0] vaccination centers avilable in Thrissur on 26-5-2021 (Next 7 days), they are  [] 
